name	ID	Mr	T0	f0	n	V0	k0	k0prime	td	gam0	q	n_a1	etaS0	Sconf	g0	g0prime	m	n_a2	n_a3	f0_Er	k0_Er	k0prime_Er	td_Er	gam0_Er	q_Er	n_a4	n_a5	etaS0_Er	g0_Er	g0prime_Er	Cations
cfs	Cpx	263.856	300	-2200000	10	6.64	1120958	5.22934	697.7035	0.9589	1.52574	1	1.36078	26.76	589860.5	1.20872	4	0	0	3000	100000	1	10	0.3	1	0	0	1	10	0.5	4
c2/c	C2/c	200.776	300	-2905788	10	6.076	1160254	6.23685	824.4439	1.12473	0.20401	1	2.14181	0	879271.7	1.84119	0	0	0	3000	10000	0.3	7	0.05	0.5	0	0	0.5	1	0.1	4
fc2/c	C2/c	263.856	300	-2222183	10	6.385413	1160254	6.23685	691.564	1.12473	0.20401	1	0.79216	26.76	706230.9	1.84119	2	0	0	4000	100000	1	11	0.3	1	0	0	1	10	0.5	4
ca-pv	ca-pv	116.161	300	-1463358	5	2.745	2360000	3.9	795.779	1.88839	0.89769	1	1.28818	0	1568315	2.22713	0	0	0	8000	40000	0.2	44	0.07	1.6	0	0	1	12	0.5	2
aki	Aki	100.388	300	-1410850	5	2.6354	2107060	5.62088	935.9778	1.18984	2.34514	1	2.80782	0	1320000	1.57889	0	0	0	2000	40000	0.8	12	0.13	0.8	0	0	1	8	0.5	3
faki	Aki	131.928	300	-1067598	5	2.6854	2107060	5.62088	887.8709	1.18984	2.34514	1	3.5716	13.38	1523046	1.57889	1	0	0	21000	100000	1	120	0.3	1	0	0	1	10	0.5	3
cor	Aki	101.961	300	-1582454	5	2.5577	2525457	4.33728	932.5696	1.32442	1.32442	1	2.8316	0	1632000	1.64174	0	0	0	1000	50000	0.2	3	0.04	0.2	0	0	0.2	2	0.1	3
py	Gt_maj	403.125	300	-5936538	20	11.308	1702396	4.11067	823.2102	1.01424	1.42169	1	0.98186	0	936999.9	1.35756	0	0	0	10000	20000	0.3	4	0.06	0.5	0	0	0.3	2	0.2	8
alm	Gt_maj	497.745	300	-4935516	20	11.543	1738963	4.91341	741.356	1.06495	1.42169	1	2.09292	40.14	960000	1.40927	1	0	0	29000	20000	0.2	5	0.06	1	0	0	1	1	0.1	8
gr	Gt_maj	450.444	300	-6277935	20	12.512	1670622	3.91544	822.743	1.05404	1.8887	1	2.38418	0	1090000	1.16274	0	0	0	11000	10000	0.2	2	0.06	0.2	0	0	0.1	4	0.1	8
maj	Gt_maj	401.552	300	-5691614	20	11.4324	1651183	4.21183	822.458	0.97682	1.53581	1	1.0178	0	849999.9	1.42969	0	0	0	10000	30000	0.3	4	0.07	0.5	0	0	0.3	2	0.2	8
jmaj	Gt_maj	404.276	300	-5518542	20	11.094	1770772	4.11067	895.914	1.01424	1.42169	1	3.30517	0	1250000	1.35756	0	0	0	14000	70000	1	18	0.3	1	0	0	1	4	0.5	8
q	q	60.084	300	-858853.4	3	2.367003	495474.3	4.33155	816.3307	0	1	1	2.36469	0	448561.7	0.95315	0	0	0	1000	10000	0.1	31	0.05	0.1	0	0	1	1	0.1	1
coe	q	60.084	300	-855068.5	3	2.0657	1135856	4	852.4267	0.39157	1	1	2.39793	0	616000	1.24734	0	0	0	1000	10000	1	9	0.05	1	0	0	1	1	0.5	1
st	q	60.084	300	-818984.6	3	1.4017	3143352	3.75122	1107.824	1.37466	2.83517	1	4.60904	0	2200000	1.93334	0	0	0	1000	80000	0.1	13	0.17	2.2	0	0	1	12	0.1	1
seif	q	60.084	300	-794335.4	3	1.367	3275843	4.01553	1140.772	1.37466	2.83517	1	4.97108	0	2274532	1.76965	0	0	0	2000	20000	1	16	0.3	1	0	0	1	2	0.1	1
perov	Pv	100.388	300	-1368283	5	2.4445	2505264	4.14	905.9412	1.56508	1.10945	1	2.56536	0	1729000	1.69037	0	0	0	1000	30000	0.1	5	0.05	0.3	0	0	0.3	2	0	2
fperov	Pv	131.928	300	-1040920	5	2.5485	2721152	4.14	870.8122	1.56508	1.10945	1	2.29211	13.38	1326849	1.37485	1	0	0	6000	400000	1	26	0.3	1	0	0	1	40	0	2
aperov	Pv	101.961	300	-1533878	5	2.4944	2582000	4.14	886.4601	1.56508	1.10945	1	2.47126	0	1713116	1.49706	0	0	0	2000	100000	0.5	7	0.3	1	0	0	0.5	10	0.1	2
per	Wus	40.304	300	-569444.6	2	1.1244	1613836	3.84045	767.0977	1.36127	1.7217	1	2.81765	0	1309000	2.1438	0	0	0	1000	30000	0.2	9	0.05	0.2	0	0	0.2	1	0.1	1
wus	Wus	71.844	300	-242146	2	1.2264	1794442	4.9376	454.1592	1.53047	1.7217	1	-0.05731	13.38	590000	1.44673	1	0	0	1000	10000	0.2	21	0.13	1	0	0	1	1	1	1
sp	Sp	569.06	300	-8667568	28	15.9048	1969428	5.68282	842.8104	1.02283	2.71208	1	2.66282	43.76	1085000	0.37303	0	0	0	32000	10000	0.2	33	0.04	0.6	0	0	0.6	10	0.5	12
herc	Sp	695.22	300	-7324009	28	16.3372	2088965	5.68282	763.231	1.27179	2.71208	1	2.768	97.28	845000	0.37303	4	0	0	35000	20000	1	32	0.07	1	0	0	1	13	0.5	12
an	Pl	278.207	300	-4014619	13	10.061	840891.5	4	752.3911	0.39241	1	1	1.6254	0	399000	1.09134	0	0	0	4000	50000	1	2	0.05	1	0	0	1	3	0.5	5
ab	Pl	262.223	300	-3718799	13	10.0452	597616.2	4	713.7824	0.56704	1	1	1.04208	0	360000	1.3855	0	0	0	5000	50000	1	13	0.03	1	0	0	1	5	0.5	5
ppv	Ppv	100.389	300	-1348641	5	2.4419	2312000	4	855.8173	1.89155	1.09081	1	1.16704	0	1501670	1.97874	0	0	0	3000	10000	0.1	4	0.03	1	0	0	0.2	4	0.1	2
fppv	Ppv	131.929	300	-981806.9	5	2.5459	2312000	4	781.3465	1.89155	1.09081	1	1.36382	0	1295000	1.44675	1	0	0	21000	100000	1	5	0.3	1	0	0	1	5	0.1	2
appv	Ppv	101.961	300	-1377582	5	2.3847	2490000	4	762.1951	1.64573	1.09081	1	2.83762	13.38	919653.1	1.81603	0	0	0	4000	200000	0.1	9	0.02	1	0	0	0.2	10	0.1	2
ky	AlSi	162.046	300	-2446058	8	4.4227	1600000	4	943.1665	0.9255	1	1	2.96665	0	1204033	1.7308	0	0	0	4000	10000	0.1	16	0.3	1	0	0	1	1	0.1	3
mfer	CF	142.266	300	-2122169	7	3.6177	2106663	4.0528	838.6291	1.31156	1	1	2.1073	0	1298260	1.75878	0	0	0	25000	100000	1	69	0.3	1	0	0	1	10	0.5	3
ffer	CF	173.806	300	-1790284	7	3.7258	2106663	4.0528	804.1986	1.31156	1	1	3.0268	13.38	1535236	1.75878	1	0	0	11000	10000	0.1	51	0.3	1	0	0	1	1	0.1	3
nfer	CF	142.054	300	-1844129	7	3.627	1613385	4.32479	812.4769	0.69428	1	1	2.79016	0	1220049	2.07687	0	0	0	4000	10000	0.01	8	0.07	1	0	0	1	10	0.5	3
neph	Neph	142.054	300	-1992104	7	5.46684	530779.9	4	700.9422	0.69428	1	1	0.6291	0	307000	1.33031	0	0	0	3000	10000	1	13	0.03	1	0	0	1	1	0.5	3
