name	ID	Mr	T0	V0	F0	K0	Kprime	Dy0	y0	q	n	n_a1	S	Sprime	ets0	m	fmag	n_a2	n_a3	F0_Er	K0_Er	Kprime_Er	Dy0_Er	y0_Er	q_Er	n_a4	n_a5	S_Er	Sprime_Er	ets0_Er
perov	Pv	100.388	300	2.4445	-1368283	250.5264	4.14	905.9412	1.56508	1.10945	5	1	172.9	1.69037	2.56536	0	0	0	0	1000	3	0.1	5	0.05	0.3	0	0	2	0	0.3
fperov	Pv	131.928	300	2.5485	-1040920	272.1152	4.14	870.8122	1.56508	1.10945	5	1	132.6849	1.37485	2.29211	1	4.16	0	0	6000	40	1	26	0.3	1	0	0	40	0	1
aperov	Pv	101.961	300	2.4944	-1533878	258.2	4.14	886.4601	1.56508	1.10945	5	1	171.3116	1.49706	2.47126	0	0	0	0	2000	10	0.5	7	0.3	1	0	0	10	0.1	0.5
per	Wus	40.304	300	1.1244	-569444.6	161.3836	3.84045	767.0977	1.36127	1.7217	2	1	130.9	2.1438	2.81765	0	0	0	0	1000	3	0.2	9	0.05	0.2	0	0	1	0.1	0.2
wus	Wus	71.844	300	1.2264	-242146	179.4442	4.9376	454.1592	1.53047	1.7217	2	1	59	1.44673	-0.05731	1	4.16	0	0	1000	1	0.2	21	0.13	1	0	0	1	1	1
cfs	Cpx	263.856	300	6.64	-2200000	112.0958	5.22934	697.7035	0.9589	1.52574	10	1	58.98605	1.20872	1.36078	4	16.64	0	0	3000	10	1	10	0.3	1	0	0	10	0.5	1
sp	Sp	569.06	300	15.905	-8667568	196.9428	5.68282	842.8104	1.02283	2.71208	28	1	108.5	0.37303	2.66282	0	43.76	0	0	32000	1	0.2	33	0.04	0.6	0	0	10	0.5	0.6
herc	Sp	695.22	300	16.337	-7324009	208.8965	5.68282	763.231	1.27179	2.71208	28	1	84.5	0.37303	2.768	4	60.4	0	0	35000	2	1	32	0.07	1	0	0	13	0.5	1
an	Plag	278.207	300	10.061	-4014619	84.08915	4	752.3911	0.39241	1	13	1	39.9	1.09134	1.6254	0	0	0	0	4000	5	1	2	0.05	1	0	0	3	0.5	1
ab	Plag	262.223	300	10.0452	-3718799	59.76162	4	713.7824	0.56704	1	13	1	36	1.3855	1.04208	0	0	0	0	5000	5	1	13	0.03	1	0	0	5	0.5	1
seif	Seif	60.084	300	1.367	-794335.4	327.5843	4.01553	1140.772	1.37466	2.83517	3	1	227.4532	1.76965	4.97108	0	0	0	0	2000	2	1	16	0.3	1	0	0	2	0.1	1
ppv	PPv	100.389	300	2.4419	-1348641	231.2	4	855.8173	1.89155	1.09081	5	1	150.167	1.97874	1.16704	0	0	0	0	3000	1	0.1	4	0.03	1	0	0	4	0.1	0.2
fppv	PPv	131.929	300	2.5459	-981806.9	231.2	4	781.3465	1.89155	1.09081	5	1	129.5	1.44675	1.36382	1	4.16	0	0	21000	10	1	5	0.3	1	0	0	5	0.1	1
appv	PPv	101.961	300	2.3847	-1377582	249	4	762.1951	1.64573	1.09081	5	1	91.96531	1.81603	2.83762	0	0	0	0	4000	20	0.1	9	0.02	1	0	0	10	0.1	0.2
ky	Al	162.046	300	4.4227	-2446058	160	4	943.1665	0.9255	1	8	1	120.4033	1.7308	2.96665	0	0	0	0	4000	1	0.1	16	0.3	1	0	0	1	0.1	1
mfer	Fer	142.266	300	3.6177	-2122169	210.6663	4.0528	838.6291	1.31156	1	7	1	129.826	1.75878	2.1073	0	0	0	0	25000	10	1	69	0.3	1	0	0	10	0.5	1
ffer	Fer	173.806	300	3.7258	-1790284	210.6663	4.0528	804.1986	1.31156	1	7	1	153.5236	1.75878	3.0268	1	13.38	0	0	11000	1	0.1	51	0.3	1	0	0	1	0.1	1
nfer	Fer	142.054	300	3.627	-1844129	161.3385	4.32479	812.4769	0.69428	1	7	1	122.0049	2.07687	2.79016	0	0	0	0	4000	1	0.01	8	0.07	1	0	0	10	0.5	1
neph	neph	142.054	300	5.4668	-1992104	53.07799	4	700.9422	0.69428	1	7	1	30.7	1.33031	0.6291	0	0	0	0	3000	1	1	13	0.03	1	0	0	1	0.5	1
